gradyear,NumberOffriends,basketball,football,soccer,softball,volleyball,swimming,cheerleading,baseball,tennis,sports,dance,band,marching,music,rock,hair,dress,blonde,clusters,cluster
2009,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,56,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,2,0,1,1
2009,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,22,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2008,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2009,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,138,2,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,1,0,1,1
2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2006,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,38,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,32,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
2006,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,37,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2009,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,76,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,28,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,5,0,1,1
2008,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2006,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2007,15,1,1,4,0,0,0,0,1,0,1,0,0,0,2,0,6,0,2,1,1
2009,28,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2008,9,0,0,1,1,0,0,2,0,0,0,4,0,0,2,0,1,0,0,0,0
2008,8,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2007,31,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1
2007,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2008,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,67,0,3,0,0,0,0,0,0,1,1,1,0,0,2,2,1,0,0,1,1
2009,39,0,0,7,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
2006,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2009,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,143,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0
2007,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,29,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0
2007,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2009,127,0,0,0,0,0,0,2,0,0,0,0,8,1,0,0,0,0,0,1,1
2006,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2008,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,141,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,1,1
2009,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006,29,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,23,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,2,1,1
2008,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,15,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2006,242,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2008,0,0,0,2,0,2,0,0,0,0,0,2,3,0,3,1,2,1,3,1,1
2009,19,3,0,7,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1
2008,32,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
2006,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0
2006,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2008,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,1,0,0,0,7,0,0,0,2,3,0,0,0,1,1
2007,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,129,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2006,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,1,0,0,0
2007,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,18,0,0,0,0,0,0,1,0,0,1,4,0,0,1,1,1,0,0,0,0
2009,56,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1
2007,87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0,0
2009,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,54,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
2008,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,25,0,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0
2006,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,67,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
2007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,32,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2008,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2007,11,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,1,0,0,0,0
2006,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,75,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1
2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2009,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2008,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
2006,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,96,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
2008,29,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0
2009,9,0,0,1,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
2008,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,61,6,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
2006,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2008,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,18,0,2,0,0,4,0,1,0,0,3,1,0,0,0,1,0,0,0,1,1
2006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
2007,22,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,23,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2008,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1
2007,64,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2007,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2007,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
2008,77,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2009,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2006,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,1,0,0,1,1
2007,144,0,0,0,0,0,0,0,0,0,1,6,0,0,4,0,1,4,0,1,1
2008,153,0,0,0,0,0,0,0,1,0,0,3,0,0,3,1,2,0,2,1,1
2009,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
2006,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,75,1,1,0,1,0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,1
2009,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2006,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2009,32,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2006,63,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0
2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,51,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2009,62,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2008,4,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
2009,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0
2006,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,1,1
2008,2,1,1,0,1,0,0,0,0,0,1,0,2,0,3,0,1,0,0,1,1
2006,27,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0
2007,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,39,0,1,0,5,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
2006,68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,34,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,13,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2009,27,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2006,16,0,1,1,0,0,0,0,0,0,1,4,1,0,0,0,1,2,0,1,1
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008,75,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2009,41,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,5,0,2,1,1
2009,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0
2009,42,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2007,18,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,0
2007,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2008,79,3,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2008,0,0,4,1,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,1,1
2009,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2008,41,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2006,43,1,2,0,1,0,0,0,3,0,1,0,1,0,2,0,1,0,0,1,1
2008,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,11,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0
2006,10,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2009,5,1,1,0,2,0,0,1,0,0,0,0,6,1,0,0,0,0,0,1,1
2006,28,1,3,1,1,1,1,2,2,1,2,0,0,0,3,2,0,0,0,1,1
2006,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,14,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,1
2007,20,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2007,30,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,15,3,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
2006,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
2006,17,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0
2007,35,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0
2009,14,1,0,0,1,3,0,0,0,0,0,1,2,0,1,0,1,1,0,1,1
2006,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,3,3,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,1,1,1
2009,22,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0
2009,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2007,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2007,27,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,1,1
2006,64,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2007,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,16,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,1,0,0,0,0
2007,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,2,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2007,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,4,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0
2007,50,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0
2007,28,1,2,0,1,0,0,0,0,0,1,1,2,0,4,7,4,2,1,1,1
2007,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0
2006,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2007,42,2,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
2007,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
2007,43,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2008,10,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,3,3,2,0,0,0,0,1,0,2,7,1,0,6,11,9,1,1,1,1
2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
2007,64,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2006,33,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2008,38,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2007,49,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,1,1
2007,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
2008,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,0,0,1,1,0,0,0,0,0,0,0,5,1,2,0,2,0,0,1,1
2008,588,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2007,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,82,0,0,2,0,0,1,0,0,0,2,4,3,0,4,2,2,1,0,1,1
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2007,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2006,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,8,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0
2009,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,0,0
2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2009,50,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,14,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2006,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0
2007,3,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,3,0,0,0,0
2008,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
2008,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,9,0,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0
2006,7,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,60,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006,20,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0
2006,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0
2006,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2006,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,5,0,2,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1
2008,44,1,1,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,1,1,1
2008,45,2,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,0,1,1,2,0,1,0,0,1,0,0,3,1,0,1,0,5,0,1,1,1
2007,49,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
2006,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2009,19,3,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1
2007,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
